kt_path,model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
6743/solution_6743.kt,kt_source,0,3.918295834054489,0.0,0.4347826086956521,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.0,0.0,7.899939327382351,-2.3302013167143913,0.7205897658495087,3.9816328571652,238.84640092394935,0,0,15.119052598738474,1,46
6743/solution_6743.kt,CodeLlama-7b-hf,0,3.8893103268126974,0.0,0.45454545454545464,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.14544106602471177,0.06140054462886509,6.510234813214912,-2.436119943274724,0.7142289042256037,2.682314394908281,91.15404755442842,0,0,14.818323470963866,1,45
6743/solution_6743.kt,CodeLlama-7b-Instruct-hf,0,6.303507476587554,0.0,5.322700025185011,0.0,0,1,0.001324966026086733,1.0,1,2,7.92481250360578,5,0.44026736131143224,1,4,3,7.92481250360578,0.25500478941011434,2.338772297822186,7.752407691433203,-0.6196469635262375,0.7086115412986296,3.7876618765848993,215.62904216193382,0,0,78.98503744001557,1,62
6743/solution_6743.kt,CodeLlama-7B-KStack-clean,0,3.8893103268126974,0.0,0.45454545454545464,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.14544106602471177,0.06140054462886509,6.510234813214912,-2.436119943274724,0.7142289042256037,2.682314394908281,91.15404755442842,0,0,14.818323470963866,1,45
6743/solution_6743.kt,CodeLlama-7B-KStack,0,3.8893103268126974,0.0,0.45454545454545464,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.14544106602471177,0.06140054462886509,6.510234813214912,-2.436119943272,0.7142289042251851,2.682314394908281,91.15404755442842,0,0,14.818323470963866,1,45
6743/solution_6743.kt,deepseek-coder-1.3b-base,0,23.738438163062078,4.0,9.120608081370118,0.0,0,1,0.0009746725794042886,0.5,3,1,5.0,5,0.2777777777777778,3,2,4,10.0,0.7654135184346358,19.77700889171367,6.482272865507619,-1.2700185000101087,0.6809422259343294,2.520832958474906,89.40433405321599,0,2,13995291.136694286,1,55
6743/solution_6743.kt,deepseek-coder-1.3b-instruct,0,7.043934208375169,0.0,3.5763250166022122,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.3259911426222787,3.2160244261514728,6.624634598436711,-2.5058072110432033,0.7160672443265726,2.79671418013008,98.67649716740253,0,0,131.95792695432417,1,43
6743/solution_6743.kt,deepseek-coder-1.3B-kexer,0,10.525365211461168,0.0,8.539901965217386,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.424700722284427,6.6691689131222,7.911599738810028,-0.42848948864248926,0.7230088510085771,4.05539280446785,240.78467097699917,0,0,1473.841034634256,1,51
6743/solution_6743.kt,deepseek-coder-6.7b-base,0,3.8893103268126974,0.0,0.45454545454545464,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.14544106602471177,0.06140054462886509,6.510234813214912,-2.436119943272,0.7142289042251851,2.682314394908281,91.15404755442842,0,0,14.818323470963866,1,45
6743/solution_6743.kt,deepseek-coder-6.7b-instruct,0,9.931324940383858,0.0,7.656463830883965,0.0,0,1,0.001324966026086733,1.0,1,2,7.92481250360578,5,0.44026736131143224,1,4,3,7.92481250360578,0.39515424664141147,5.966589761578627,7.883967444438468,-0.6583383838508035,0.7105203506880965,3.919221629590165,236.21674764036422,0,0,976.3976011179427,1,59
