Category,Factor,F1,F2,F3,F4,F5
BytecodeChatGPT,mean,-0.18692397799524058,0.05377987714348485,-0.0371066176888075,-0.05333036534628733,-0.03593941308314144
BytecodeChatGPT,std,1.39198272219726,1.67758750961259,2.151152476904729,3.89701639333229,1.466087605165734
CFRChatGPT,mean,0.01653776769441456,-0.03303316164961858,0.2697192174405028,-0.15718273603594238,-0.06031980101417587
CFRChatGPT,std,1.173939402445472,1.8124262439478962,1.9864094501106002,4.962714851099286,1.6794700036626813
CFRJ2K,mean,-0.24383399954696472,0.26579496335038144,0.04477309675084763,-0.6336105377600803,-0.08054743057707996
CFRJ2K,std,1.2396582092732722,1.672946005850657,1.8493341004180477,3.3806643136780186,1.413600611253768
FernflowerChatGPT,mean,0.2554339541783402,-0.21983712924022028,-0.2612301753326725,0.41319339897427554,0.11153733635849294
FernflowerChatGPT,std,2.0242247971713283,1.8185813958437242,1.6528186344952362,4.398260115058699,1.4978065435229884
FernflowerJ2K,mean,-0.2230904650642061,0.23198569610900205,0.43539809675084773,-0.3708142015531838,-0.1402187667839765
FernflowerJ2K,std,1.6884617507204003,1.9507643472773277,2.2590373615251216,4.656534982091281,1.7580817793833063
JDGUIChatGPT,mean,0.06058410390131099,0.01889302369520897,0.028609303647399408,-0.308583598104908,-0.057895232048658644
JDGUIChatGPT,std,2.362715974295381,1.766651736858984,2.066487936842774,3.459276270804728,1.3602364495761747
JDGUIJ2K,mean,0.24012006834096625,-0.22767217027030823,-0.3303110896715661,0.7414904859468161,0.1773997676987821
JDGUIJ2K,std,2.058703810609636,1.5650894220607132,2.4461472320366737,4.326509046045974,1.5334415183510899
