Metric1,Metric2,r
detekt_UtilityClassWithPublicConstructor,CE_1gram,-0.8159051623956971
detekt_UtilityClassWithPublicConstructor,CE_2gram,-0.805139349105512
detekt_UtilityClassWithPublicConstructor,CE_3gram,-0.7924225478333388
detekt_UtilityClassWithPublicConstructor,CE_4gram,-0.7832274635054687
detekt_UtilityClassWithPublicConstructor,CE_5gram,-0.7592905562624779
detekt_UtilityClassWithPublicConstructor,CE_6gram,-0.7330211141630375
detekt_UtilityClassWithPublicConstructor,CE,-0.8159051623956971
detekt_UtilityClassWithPublicConstructor,CE,-0.8159051623956971
detekt_UtilityClassWithPublicConstructor,KL,-0.8061321166201402
detekt_UtilityClassWithPublicConstructor,KL,-0.8061321166201402
